HintId,WordId,HintKey,Hint_es-AR,Hint_en
professions.periodista.hint.01,professions.periodista,hint.professions.periodista.hint.01,Noticia,News
professions.actor.hint.01,professions.actor,hint.professions.actor.hint.01,Escena,Stage
professions.cantante.hint.01,professions.cantante,hint.professions.cantante.hint.01,Micrófono,Microphone
professions.electricista.hint.01,professions.electricista,hint.professions.electricista.hint.01,Cable,Cable
professions.plomero.hint.01,professions.plomero,hint.professions.plomero.hint.01,Caño,Pipe
professions.carpintero.hint.01,professions.carpintero,hint.professions.carpintero.hint.01,Madera,Wood
professions.peluquero.hint.01,professions.peluquero,hint.professions.peluquero.hint.01,Tijera,Scissors
superheroes.spider_man.hint.01,superheroes.spider_man,hint.superheroes.spider_man.hint.01,Máscara,Mask
superheroes.batman.hint.01,superheroes.batman,hint.superheroes.batman.hint.01,Animal,Animal
superheroes.superman.hint.01,superheroes.superman,hint.superheroes.superman.hint.01,Volar,Flying
superheroes.mujer_maravilla.hint.01,superheroes.mujer_maravilla,hint.superheroes.mujer_maravilla.hint.01,Látigo,Lasso
superheroes.iron_man.hint.01,superheroes.iron_man,hint.superheroes.iron_man.hint.01,Genio,Genius
superheroes.capitan_america.hint.01,superheroes.capitan_america,hint.superheroes.capitan_america.hint.01,Escudo,Shield
superheroes.thor.hint.01,superheroes.thor,hint.superheroes.thor.hint.01,Dios,God
superheroes.hulk.hint.01,superheroes.hulk,hint.superheroes.hulk.hint.01,Verde,Green
superheroes.viuda_negra.hint.01,superheroes.viuda_negra,hint.superheroes.viuda_negra.hint.01,Insecto,Insect
superheroes.doctor_strange.hint.01,superheroes.doctor_strange,hint.superheroes.doctor_strange.hint.01,Capa,Cape
superheroes.pantera_negra.hint.01,superheroes.pantera_negra,hint.superheroes.pantera_negra.hint.01,Nación,Nation
superheroes.flash.hint.01,superheroes.flash,hint.superheroes.flash.hint.01,Velocidad,Speed
superheroes.aquaman.hint.01,superheroes.aquaman,hint.superheroes.aquaman.hint.01,Tridente,Trident
superheroes.wolverine.hint.01,superheroes.wolverine,hint.superheroes.wolverine.hint.01,Garras,Claws
superheroes.wolverine.hint.02,superheroes.wolverine,hint.superheroes.wolverine.hint.02,Sexy,Sexy
superheroes.deadpool.hint.01,superheroes.deadpool,hint.superheroes.deadpool.hint.01,Sarcasmo,Sarcasm
superheroes.ant_man.hint.01,superheroes.ant_man,hint.superheroes.ant_man.hint.01,Chiquito,Tiny
superheroes.capitana_marvel.hint.01,superheroes.capitana_marvel,hint.superheroes.capitana_marvel.hint.01,Energía,Energy
superheroes.linterna_verde.hint.01,superheroes.linterna_verde,hint.superheroes.linterna_verde.hint.01,Intergaláctico,Intergalactic
superheroes.daredevil.hint.01,superheroes.daredevil,hint.superheroes.daredevil.hint.01,Vista,Sight
superheroes.venom.hint.01,superheroes.venom,hint.superheroes.venom.hint.01,Negro,Black
hot.kamasutra.hint.01,hot.kamasutra,hint.hot.kamasutra.hint.01,Pose,Position
hot.dildo.hint.01,hot.dildo,hint.hot.dildo.hint.01,Grande,Big
hot.vibrador.hint.01,hot.vibrador,hint.hot.vibrador.hint.01,Negro,Black
hot.muneca_inflable.hint.01,hot.muneca_inflable,hint.hot.muneca_inflable.hint.01,Hombres,Men
hot.porno.hint.01,hot.porno,hint.hot.porno.hint.01,Gay,Gay
hot.vagina.hint.01,hot.vagina,hint.hot.vagina.hint.01,Olor,Smell
hot.pene.hint.01,hot.pene,hint.hot.pene.hint.01,Medida,Size
hot.ano.hint.01,hot.ano,hint.hot.ano.hint.01,Placer,Pleasure
hot.nude.hint.01,hot.nude,hint.hot.nude.hint.01,Snapchat,Snapchat
hot.tetas.hint.01,hot.tetas,hint.hot.tetas.hint.01,Agarrar,Grab
hot.orgia.hint.01,hot.orgia,hint.hot.orgia.hint.01,Amigos,Friends
hot.chupon.hint.01,hot.chupon,hint.hot.chupon.hint.01,Marca,Mark
dark_humor.epstein.hint.01,dark_humor.epstein,hint.dark_humor.epstein.hint.01,Nenes,Kids
dark_humor.judios.hint.01,dark_humor.judios,hint.dark_humor.judios.hint.01,Gorro,Cap
dark_humor.pedofilia.hint.01,dark_humor.pedofilia,hint.dark_humor.pedofilia.hint.01,Iglesia,Church
dark_humor.zoofilia.hint.01,dark_humor.zoofilia,hint.dark_humor.zoofilia.hint.01,Zoológico,Zoo
dark_humor.necrofilia.hint.01,dark_humor.necrofilia,hint.dark_humor.necrofilia.hint.01,Morgue,Morgue
